Date,Sentiment_score
2020-01-01,0.939128990608169
2020-03-30,0.1036301564757054
2021-05-24,0.03254303741834974
2019-12-12,0.48820964524338706
2019-04-08,0.011314996075213912
2019-03-16,0.17243611503814887
2019-05-23,0.853592553706676
2021-01-14,0.08465210070545602
2019-09-18,0.7706062441176491
2019-04-28,0.4124766623276309
2019-08-13,0.5905963462118962
2021-03-05,0.28883916144059185
2020-05-11,0.24799303596112787
2020-09-19,0.2172292814913135
2020-07-20,0.46095932597108913
2019-05-03,0.7257928995628617
2020-10-25,0.6321962124480163
2020-01-21,0.4834817799510347
2019-03-31,0.2060715522960354
2019-07-20,0.6395697090768724
2019-08-01,0.23603784379606438
2021-04-27,0.6391435559139609
2018-12-01,0.5466617057455657
2021-05-22,0.6882444890975421
2019-05-11,0.21493222163402986
2019-07-09,0.595457513458063
2019-03-10,0.9594118259982234
2020-03-31,0.21161156139226023
2019-10-25,0.22471234011396746
2019-03-30,0.4922344253126312
2019-07-29,0.16011935039183867
2019-01-01,0.9379855818215266
2019-10-05,0.6489243895557593
2020-07-26,0.09136155716885588
2019-08-21,0.3535287065869852
2020-05-23,0.1538717774215967
2018-12-21,0.7023468415256396
2020-03-16,0.30331011669068175
2020-04-08,0.42816658419151343
2021-04-07,0.9145336453054824
2019-08-12,0.18353594717211763
2019-09-17,0.1422060450949454
2020-10-10,0.6531033075777674
2019-04-07,0.25310506952798295
2019-05-02,0.3568895631469786
2020-03-25,0.4462607596340398
2020-05-24,0.9528771969513885
2021-03-30,0.1948770862766196
2020-07-15,0.2651535407859043
2021-01-01,0.3193423852391106
2021-03-10,0.1706458685985126
2020-05-04,0.6550250372779279
2019-10-16,0.050665367964604885
2021-01-21,0.667869455395703
2019-01-12,0.6923720677435767
2020-10-30,0.5871006461677553
2019-12-13,0.8606958753161962
2021-05-11,0.8798722999372893
2020-03-05,0.050282314374612724
2020-12-01,0.25981234990795804
2019-04-27,0.2087872917228342
2018-10-25,0.9222532940603969
2020-01-12,0.4518436456813426
2019-08-14,0.15501097251564827
2019-05-04,0.7042727252992336
2019-03-05,0.7561330123241987
2021-04-28,0.26447783884123055
2019-12-01,0.2960246030781863
2019-10-30,0.4916163787129335
2019-12-21,0.5443940649483281
2021-03-16,0.6935777101145959
2020-05-02,0.20475694121159904
2020-09-17,0.45782671996812496
2019-01-31,0.8450637506731652
2019-01-14,0.794935479492269
2021-05-23,0.8692431118190422
2019-10-10,0.7947756900682332
2018-10-05,0.5237015333090825
2021-01-13,0.3425625996243226
2019-01-20,0.4617563742511793
2020-08-26,0.966448534742085
2019-10-24,0.511796264183039
2019-12-15,0.5873160966593787
2021-03-22,0.21547195710923006
2021-02-27,0.048762599338488144
2019-03-11,0.6543083713989837
2019-05-10,0.5591498698702098
2019-01-09,0.1384228411182009
2020-06-18,0.5955109415921243
2021-06-17,0.12310455152180566
2020-01-06,0.14484451649442015
2020-11-07,0.32643630890493114
2019-07-21,0.8196221628840107
2020-10-02,0.4446793479964981
2018-12-20,0.16767727780891728
2019-05-30,0.33609962893171996
2020-10-22,0.11857138286154623
2019-07-01,0.3993135726513109
2020-11-27,0.08082593432382079
2019-08-20,0.3308667042332376
2018-10-11,0.5789609200540358
2020-01-26,0.11183555919069477
2019-10-04,0.8479273270038448
2020-03-23,0.7543260309340667
2018-12-09,0.07857038320844367
2021-03-02,0.7048947090126212
2018-11-28,0.8298228448146285
2019-10-22,0.24390272515915967
2021-01-15,0.3040674453442307
2020-06-19,0.7071039223023945
2020-08-20,0.3920584642353333
2020-05-30,0.14855552756398538
2018-10-03,0.4558289392827992
2021-03-24,0.08114984589974483
2018-12-06,0.8179606557273829
2019-05-16,0.24800672413878505
2019-02-08,0.3210514044901116
2020-08-09,0.3821162433450809
2020-10-04,0.7886656879284464
2019-08-06,0.8073561538281527
2020-08-29,0.736921367186766
2020-12-15,0.8184556632259046
2021-05-05,0.5907046641742681
2018-12-26,0.349868932944567
2020-03-11,0.5337072149711624
2019-08-26,0.32349749088228
2020-01-20,0.3425050624557556
2019-03-03,0.4584745136487527
2019-08-31,0.2279748541370541
2019-01-06,0.12593605491943566
2019-06-18,0.8472176837119615
2019-10-02,0.10376302746691425
2019-11-07,0.7589342780952393
2018-11-08,0.8437062223854355
2018-10-23,0.6178052747544047
2020-11-08,0.01804402420293627
2020-07-12,0.7543750004392678
2019-03-04,0.22846509439727924
2020-12-26,0.02621861387467561
2018-12-15,0.40355527264705415
2020-03-22,0.44220943372943644
2020-02-27,0.5958636144683652
2019-12-29,0.6316764879877814
2018-10-24,0.8898145760358452
2019-07-31,0.7066948014693266
2021-02-08,0.4461364496108998
2020-02-07,0.1329659185039418
2020-03-02,0.5989684615363713
2020-12-06,0.41181638780199137
2019-05-25,0.4301276569171572
2019-07-14,0.4319397361420021
2021-03-23,0.6385149084999284
2018-10-04,0.7192507672206013
2019-12-09,0.8068289511024022
2019-10-11,0.6218477309978714
2019-01-15,0.13350086193418426
2020-11-28,0.36378157190301863
2019-03-24,0.38703874599800697
2019-12-20,0.833646623103985
2020-07-14,0.3942118247206281
2019-03-02,0.4622356434799244
2019-02-07,0.4585162027455567
2020-05-25,0.6858548323279434
2019-12-06,0.13330923094508762
2020-03-24,0.8846082819575258
2021-05-30,0.2677110963741143
2020-12-20,0.06269159304224606
2021-06-19,0.46594258914115017
2018-10-22,0.690604793733425
2020-01-15,0.5829534440581483
2019-10-23,0.8783526897936971
2020-03-04,0.524333587177386
2018-10-02,0.9264434892916135
2018-11-07,0.5106878193158808
2019-11-08,0.7221519390031972
